Date,Day,Open,High,Low,Close,Change,Range,Type
2024-03-27,Wednesday,2178.74,2197.68,2173.49,2194.86,16.12,24.19,bullish
2024-03-26,Tuesday,2171.8,2200.18,2167.63,2178.74,6.93,32.55,bullish
2024-03-25,Monday,2165.31,2181.41,2163.61,2171.8,6.49,17.8,bullish
2024-03-22,Friday,2181.36,2186.13,2157.13,2165.31,-16.05,29,bearish
2024-03-21,Thursday,2186.37,2222.92,2166.45,2181.36,-5.01,56.47,bearish
2024-03-20,Wednesday,2157.57,2188.91,2149.66,2186.37,28.8,39.25,bullish
2024-03-19,Tuesday,2160.32,2162.91,2147.21,2157.57,-2.75,15.7,bearish
2024-03-18,Monday,2156.01,2163.63,2146.16,2160.32,4.31,17.47,bullish
2024-03-15,Friday,2162.13,2172.81,2155.25,2156.01,-6.12,17.56,bearish
2024-03-14,Thursday,2174.39,2177.05,2152.84,2162.13,-12.26,24.2,bearish
2024-03-13,Wednesday,2158.46,2179.92,2155.86,2174.39,15.93,24.07,bullish
2024-03-12,Tuesday,2182.73,2184.82,2150.66,2158.46,-24.27,34.16,bearish
2024-03-11,Monday,2179.11,2189.13,2174.86,2182.73,3.63,14.26,bullish
2024-03-08,Friday,2160.11,2195.24,2154.06,2179.11,18.99,41.18,bullish
2024-03-07,Thursday,2148.15,2164.8,2144.26,2160.11,11.96,20.55,bullish
2024-03-06,Wednesday,2128.05,2152.25,2123.77,2148.15,20.11,28.49,bullish
2024-03-05,Tuesday,2114.36,2141.88,2110.53,2128.05,13.68,31.35,bullish
2024-03-04,Monday,2082.73,2119.98,2079.53,2114.36,31.63,40.44,bullish
2024-03-01,Friday,2044.29,2088.38,2039.11,2082.73,38.44,49.27,bullish
2024-02-29,Thursday,2034.46,2050.75,2028.17,2044.29,9.83,22.58,bullish
2024-02-28,Wednesday,2030.45,2037.95,2024.56,2034.46,4.02,13.39,bullish
2024-02-27,Tuesday,2031.25,2039.51,2028.86,2030.45,-0.81,10.65,bearish
2024-02-26,Monday,2035.38,2037.13,2025.12,2031.25,-4.12,12.02,bearish
2024-02-23,Friday,2024.36,2041.41,2016.13,2035.38,11.02,25.29,bullish
2024-02-22,Thursday,2026.04,2034.95,2019.72,2024.36,-1.68,15.23,bearish
2024-02-21,Wednesday,2024.42,2032.33,2020.1,2026.04,1.63,12.23,bullish
2024-02-20,Tuesday,2017.95,2030.92,2015.12,2024.42,6.47,15.8,bullish
2024-02-19,Monday,2013.23,2023.07,2000.36,2017.95,4.71,22.71,bullish
2024-02-16,Friday,2004.4,2015.23,1995.16,2013.23,8.83,20.07,bullish
2024-02-15,Thursday,1992.37,2008.34,1990.33,2004.4,12.04,18.01,bullish
2024-02-14,Wednesday,1993.09,1996.16,1984.31,1992.37,-0.72,11.85,bearish
2024-02-13,Tuesday,2020.01,2031.59,1990.16,1993.09,-26.92,41.43,bearish
2024-02-12,Monday,2024.36,2027.67,2011.95,2020.01,-4.35,15.72,bearish
2024-02-09,Friday,2034.21,2037.25,2020.35,2024.36,-9.85,16.9,bearish
2024-02-08,Thursday,2035,2038.79,2020.25,2034.21,-0.79,18.54,bearish
2024-02-07,Wednesday,2035.89,2044.66,2030.65,2035,-0.88,14.01,bearish
2024-02-06,Tuesday,2024.89,2038.95,2022.98,2035.89,10.99,15.97,bullish
2024-02-05,Monday,2039.75,2042.32,2014.96,2024.89,-14.86,27.36,bearish
2024-02-02,Friday,2054.82,2057.71,2027.87,2039.75,-15.07,29.84,bearish
2024-02-01,Thursday,2039.16,2065.53,2030.07,2054.82,15.67,35.46,bullish
2024-01-31,Wednesday,2036.83,2056.07,2030.94,2039.16,2.33,25.13,bullish
2024-01-30,Tuesday,2032.53,2048.63,2029.1,2036.83,4.3,19.53,bullish
2024-01-29,Monday,2018.59,2037.61,2018.59,2032.53,13.94,19.02,bullish
2024-01-26,Friday,2020.94,2026.9,2016,2018.59,-2.35,10.91,bearish
2024-01-25,Thursday,2014.24,2025.32,2009.45,2020.94,6.71,15.88,bullish
2024-01-24,Wednesday,2029.16,2036.74,2011.28,2014.24,-14.92,25.46,bearish
2024-01-23,Tuesday,2021.66,2037.98,2019.68,2029.16,7.49,18.3,bullish
2024-01-22,Monday,2029.62,2032.18,2016.61,2021.66,-7.96,15.57,bearish
2024-01-19,Friday,2023.02,2039.42,2020.48,2029.62,6.6,18.94,bullish
2024-01-18,Thursday,2006.34,2023.4,2005.84,2023.02,16.68,17.56,bullish
2024-01-17,Wednesday,2028.51,2032.98,2001.9,2006.34,-22.17,31.09,bearish
2024-01-16,Tuesday,2054.77,2055.61,2024.33,2028.51,-26.26,31.28,bearish
2024-01-15,Monday,2049.16,2058.67,2045.84,2054.77,5.61,12.84,bullish
2024-01-12,Friday,2029.02,2062.31,2029.01,2049.16,20.14,33.3,bullish
2024-01-11,Thursday,2024.32,2045.17,2013.39,2029.02,4.7,31.78,bullish
2024-01-10,Wednesday,2030.02,2040.3,2020.53,2024.32,-5.7,19.77,bearish
2024-01-09,Tuesday,2028.04,2042.04,2026.19,2030.02,1.98,15.85,bullish
2024-01-08,Monday,2045.63,2046.69,2016.82,2028.04,-17.59,29.87,bearish
2024-01-05,Friday,2043.44,2064.04,2024.53,2045.63,2.19,39.51,bullish
2024-01-04,Thursday,2041.29,2051.02,2036.3,2043.44,2.14,14.71,bullish
2024-01-03,Wednesday,2059.05,2066.01,2030.7,2041.29,-17.76,35.31,bearish
